id,score
as9627,3.7245119305856833
hs2172,3.717142857142857
ns3200,3.709278350515464
as6058,3.708139534883721
hs1007,3.703061224489796
as6347,3.703023758099352
hs2251,3.7026476578411405
as5638,3.701063829787234
as1962,3.699604743083004
ns3123,3.698958333333333
ns3984,3.6989473684210528
as4786,3.6989247311827955
as1647,3.698704103671706
hs2716,3.6978494623655913
hs347,3.697478991596639
ns7518,3.6922268907563027
as6507,3.6913978494623656
hs1389,3.690928270042194
ds256,3.6896929824561404
hs2180,3.689655172413793
as3439,3.6878850102669403
as2139,3.6877729257641922
as1637,3.685515873015873
as7409,3.685450819672131
as7675,3.6844349680170576
as308,3.683585313174946
as8868,3.6824324324324325
as3520,3.681547619047619
ns2487,3.6788793103448274
as812,3.678800856531049
as3240,3.678719008264463
as9097,3.6781970649895177
ns832,3.677754677754678
hs902,3.6776180698151952
hs1329,3.6775599128540306
as2206,3.6770601336302895
ns1191,3.677024482109228
ds1292,3.6768916155419222
ns549,3.6768018018018016
hs1974,3.676595744680851
hs2787,3.6762013729977117
as5718,3.6760869565217393
as1276,3.675946547884187
ns3318,3.675531914893617
as925,3.675152749490835
as7428,3.6751101321585904
ns2929,3.675101214574899
ns1066,3.6749460043196542
as8378,3.674586776859504
as1159,3.674586776859504
as140,3.674193548387097
as1139,3.673580786026201
as706,3.6734913793103448
ns5450,3.6727861771058317
as4457,3.672727272727273
ns7906,3.672594142259414
hs1885,3.6725274725274724
as1441,3.6724137931034484
ds1410,3.6720779220779223
as5740,3.671641791044776
as9478,3.671590909090909
hs2611,3.6710239651416123
as5709,3.6704545454545454
ns2277,3.670353982300885
ns4465,3.6698717948717947
ns3244,3.6695842450765865
as1181,3.6693386773547094
ns4931,3.6691973969631237
as4494,3.6691489361702128
as814,3.668918918918919
ns4363,3.6683467741935485
hs2415,3.6681715575620766
ns4415,3.667708333333333
ns8599,3.6670081967213113
as198,3.667004048582996
as8836,3.6670020120724347
hs627,3.6666666666666665
ns2884,3.6666666666666665
as3803,3.6663306451612905
as2330,3.666326530612245
as7851,3.6659707724425887
hs348,3.6659619450317127
as7289,3.665934065934066
as4557,3.6656626506024095
as87,3.665650406504065
ns671,3.665644171779141
ns197,3.6655982905982905
hs2122,3.6652806652806653
as7354,3.664926931106472
as7468,3.664882226980728
as5071,3.6648706896551726
ds494,3.664335664335664
ns8315,3.664285714285714
ns8637,3.6638655462184873
as2184,3.663793103448276
hs2829,3.66359918200409
hs2976,3.6629098360655736
as9017,3.6627659574468083
as6970,3.6627408993576016
ns560,3.6626262626262625
ns7462,3.6625282167042887
as3576,3.6624737945492662
ns7198,3.6617021276595745
ns1767,3.661662817551963
hs1042,3.6616465863453813
ds106,3.661290322580645
ds685,3.6607142857142856
hs2468,3.660520607375271
as139,3.6604938271604937
hs1840,3.6603139013452917
as8275,3.66023166023166
ns5407,3.6601239669421486
ns2074,3.6600831600831603
as5687,3.6598360655737703
as4589,3.659751037344398
ns5511,3.659
ns3650,3.658906882591093
hs220,3.658482142857143
ns7889,3.658280922431866
as4937,3.658280922431866
as7923,3.6581858407079646
as4352,3.658119658119658
ns1903,3.658119658119658
as565,3.657949790794979
as6191,3.657608695652174
hs2897,3.657520325203252
as6620,3.657210401891253
hs1659,3.657
as8307,3.6569037656903767
ds1014,3.6567622950819674
as3751,3.656599552572707
ns3442,3.6563146997929605
as246,3.65625
as5402,3.656122448979592
as1860,3.65599173553719
as3145,3.6557377049180326
as5786,3.655577299412916
as8507,3.6554878048780486
ns6871,3.6553911205073994
hs181,3.65531914893617
as7983,3.6551362683438153
as6344,3.6550218340611353
as4124,3.6549586776859506
ns4647,3.6548856548856548
as4582,3.654690618762475
as8773,3.6545064377682404
ns883,3.6544554455445546
ns2447,3.6544554455445546
ns4720,3.6543478260869566
ns7737,3.653921568627451
ns855,3.6536842105263156
ns1263,3.6536082474226803
as9498,3.6535353535353536
ns5966,3.6534552845528454
as8268,3.6534216335540837
hs1764,3.653361344537815
ds764,3.6533333333333333
hs2448,3.653179190751445
ns8617,3.6529535864978904
as6999,3.6529017857142856
as6791,3.6528662420382165
ns2913,3.652688172043011
ns3589,3.652083333333333
as2075,3.652027027027027
hs172,3.652
as6209,3.651991614255765
ns6073,3.651969981238274
as3554,3.6518595041322315
ns8398,3.6518438177874186
as3868,3.6517671517671517
as7644,3.651654411764706
ns2397,3.6516483516483516
ns852,3.6516129032258067
ns410,3.6512875536480687
as9324,3.6511627906976742
ns6101,3.6511627906976742
ns3236,3.651111111111111
ds815,3.651086956521739
